age,job,marital,education,default,housing,loan,contact,campaign,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
42,blue-collar,married,basic.4y,no,yes,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.857,5191,0
44,blue-collar,married,basic.4y,no,no,no,cellular,5,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
72,retired,divorced,basic.6y,no,yes,no,cellular,2,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,1
48,blue-collar,married,basic.9y,unknown,no,no,cellular,3,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
36,management,married,high.school,unknown,yes,no,cellular,1,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
35,housemaid,married,basic.4y,no,yes,no,cellular,1,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
43,entrepreneur,married,basic.6y,no,yes,no,cellular,3,failure,-1.8,92.893,-46.2,1.354,5099.1,0
56,retired,married,basic.4y,unknown,yes,no,cellular,1,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
42,blue-collar,married,basic.9y,unknown,yes,no,telephone,2,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
31,admin.,single,university.degree,no,yes,no,cellular,1,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,0
32,technician,married,basic.9y,unknown,no,no,telephone,5,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
33,blue-collar,married,high.school,unknown,yes,yes,cellular,2,failure,-1.8,92.893,-46.2,1.354,5099.1,0
31,blue-collar,married,basic.6y,unknown,no,no,telephone,4,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
39,management,married,university.degree,no,yes,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.859,5191,0
30,blue-collar,married,high.school,no,no,no,telephone,4,nonexistent,1.1,93.994,-36.4,4.857,5191,0
24,management,single,university.degree,no,yes,no,cellular,4,failure,-1.8,92.893,-46.2,1.27,5099.1,0
24,admin.,married,high.school,no,no,yes,telephone,1,nonexistent,1.1,93.994,-36.4,4.857,5191,0
38,blue-collar,married,professional.course,no,yes,no,telephone,4,nonexistent,1.1,93.994,-36.4,4.859,5191,0
26,blue-collar,married,high.school,no,yes,no,telephone,12,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
41,technician,married,professional.course,no,no,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.856,5191,0
34,admin.,married,high.school,no,yes,yes,cellular,1,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
30,management,married,university.degree,no,no,no,cellular,1,nonexistent,-1.8,92.843,-50,1.811,5099.1,1
37,admin.,married,university.degree,no,yes,no,cellular,1,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
68,retired,married,basic.4y,no,yes,no,cellular,1,nonexistent,-2.9,92.469,-33.6,1.029,5076.2,0
31,admin.,single,high.school,no,no,no,cellular,2,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
48,technician,divorced,university.degree,no,yes,no,cellular,1,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0
33,technician,married,professional.course,no,yes,no,telephone,4,nonexistent,1.1,93.994,-36.4,4.857,5191,0
59,self-employed,single,university.degree,no,yes,no,telephone,3,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,0
44,blue-collar,married,unknown,unknown,yes,no,telephone,3,nonexistent,1.1,93.994,-36.4,4.857,5191,0
28,unknown,single,unknown,unknown,yes,no,telephone,1,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0
50,management,married,university.degree,no,no,no,cellular,3,success,-2.9,92.201,-31.4,0.883,5076.2,0
33,entrepreneur,married,university.degree,no,no,no,cellular,1,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
45,services,married,professional.course,no,yes,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.857,5191,0
40,management,married,university.degree,no,no,no,cellular,2,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
45,services,married,professional.course,no,no,no,telephone,18,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
43,technician,divorced,university.degree,unknown,no,no,telephone,2,nonexistent,1.1,93.994,-36.4,4.858,5191,0
54,blue-collar,married,professional.course,unknown,yes,yes,telephone,3,nonexistent,1.1,93.994,-36.4,4.857,5191,0
53,technician,divorced,professional.course,no,no,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.856,5191,0
35,self-employed,single,university.degree,no,yes,no,cellular,1,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
30,technician,single,professional.course,no,yes,no,cellular,1,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
25,technician,married,professional.course,no,yes,no,telephone,2,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
35,services,divorced,professional.course,no,no,yes,cellular,1,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
54,admin.,married,university.degree,no,yes,no,cellular,1,nonexistent,-1.8,92.843,-50,1.56,5099.1,1
30,blue-collar,married,basic.6y,no,no,no,cellular,2,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
38,admin.,married,university.degree,unknown,yes,no,cellular,1,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
35,admin.,married,university.degree,no,yes,no,cellular,1,failure,-3.4,92.431,-26.9,0.74,5017.5,0
47,blue-collar,married,professional.course,unknown,yes,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.856,5191,0
32,blue-collar,single,high.school,no,yes,no,cellular,3,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
27,blue-collar,married,basic.9y,no,yes,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.856,5191,0
40,blue-collar,married,basic.9y,no,unknown,unknown,telephone,1,nonexistent,-0.1,93.2,-42,4.245,5195.8,1
31,admin.,married,high.school,no,no,no,telephone,3,nonexistent,1.1,93.994,-36.4,4.857,5191,0
42,blue-collar,divorced,basic.9y,no,no,no,cellular,2,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
40,blue-collar,married,basic.6y,no,yes,no,cellular,4,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
31,admin.,single,high.school,no,yes,no,cellular,1,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
57,technician,married,basic.4y,unknown,no,no,telephone,2,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
38,admin.,single,high.school,no,yes,no,cellular,1,success,-1.8,93.749,-34.6,0.659,5008.7,1
39,services,married,high.school,unknown,no,no,telephone,2,nonexistent,1.1,93.994,-36.4,4.858,5191,0
37,admin.,divorced,high.school,unknown,yes,yes,telephone,5,nonexistent,1.1,93.994,-36.4,4.858,5191,0
50,unemployed,married,professional.course,unknown,yes,yes,cellular,1,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
33,blue-collar,single,basic.4y,no,yes,yes,cellular,1,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1
41,blue-collar,married,basic.6y,no,unknown,unknown,telephone,1,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
37,entrepreneur,married,basic.6y,unknown,unknown,unknown,telephone,1,nonexistent,1.1,93.994,-36.4,4.857,5191,0
25,student,single,high.school,no,no,no,cellular,1,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,0
35,admin.,married,high.school,unknown,no,no,cellular,1,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
46,management,married,university.degree,no,no,no,cellular,2,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1
29,admin.,divorced,university.degree,no,no,no,telephone,3,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
35,admin.,married,university.degree,no,yes,no,cellular,4,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
48,entrepreneur,single,professional.course,no,yes,no,cellular,3,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0
31,self-employed,single,university.degree,no,no,no,cellular,1,nonexistent,-3.4,92.431,-26.9,0.73,5017.5,0
33,blue-collar,divorced,basic.9y,no,no,yes,telephone,6,failure,-1.8,92.893,-46.2,1.266,5099.1,0
63,retired,divorced,university.degree,no,no,yes,cellular,1,failure,-2.9,92.469,-33.6,1.072,5076.2,0
38,admin.,married,high.school,no,yes,no,cellular,2,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
34,admin.,divorced,high.school,no,no,no,cellular,2,success,-3.4,92.649,-30.1,0.716,5017.5,0
34,services,divorced,high.school,no,no,no,telephone,4,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
47,management,married,university.degree,no,yes,no,telephone,2,success,-1.8,93.876,-40,0.682,5008.7,0
27,blue-collar,single,basic.9y,no,yes,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.857,5191,0
24,admin.,single,university.degree,no,no,no,cellular,1,failure,-1.7,94.027,-38.3,0.905,4991.6,1
36,blue-collar,married,basic.9y,no,yes,no,cellular,3,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
29,services,single,high.school,unknown,no,no,telephone,2,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
58,retired,married,basic.9y,no,yes,no,telephone,1,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
40,technician,married,professional.course,no,no,no,cellular,1,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
31,admin.,single,university.degree,no,yes,no,cellular,8,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
60,retired,married,basic.4y,unknown,no,no,cellular,3,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
58,housemaid,married,basic.4y,unknown,yes,no,telephone,1,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
32,blue-collar,single,basic.9y,no,yes,no,cellular,2,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
54,admin.,divorced,university.degree,no,no,no,telephone,4,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
43,technician,married,professional.course,unknown,yes,no,cellular,2,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
48,retired,married,basic.4y,unknown,no,no,telephone,8,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
33,admin.,married,university.degree,no,yes,no,cellular,1,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
37,blue-collar,married,basic.9y,unknown,no,no,telephone,2,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
35,services,divorced,professional.course,unknown,no,no,telephone,2,nonexistent,1.1,93.994,-36.4,4.857,5191,0
34,services,married,high.school,no,no,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.86,5191,0
30,technician,single,university.degree,no,yes,no,cellular,17,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
38,admin.,married,basic.9y,unknown,yes,no,telephone,1,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
29,technician,divorced,professional.course,unknown,yes,no,cellular,5,failure,-1.8,92.893,-46.2,1.313,5099.1,0
49,entrepreneur,married,university.degree,no,yes,no,cellular,1,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
48,management,divorced,university.degree,no,no,no,cellular,1,nonexistent,-2.9,92.201,-31.4,0.869,5076.2,0
33,management,married,high.school,no,yes,no,cellular,2,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
33,admin.,single,university.degree,no,yes,yes,telephone,1,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,0
42,management,married,university.degree,no,no,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.857,5191,0
39,admin.,married,university.degree,no,no,no,telephone,1,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
55,entrepreneur,married,university.degree,unknown,yes,yes,cellular,2,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
46,management,married,university.degree,unknown,yes,no,telephone,3,nonexistent,1.1,93.994,-36.4,4.86,5191,0
55,blue-collar,divorced,basic.4y,unknown,no,yes,telephone,3,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
42,entrepreneur,married,university.degree,no,yes,no,cellular,1,failure,-0.1,93.2,-42,4.021,5195.8,0
24,student,single,high.school,unknown,yes,no,cellular,1,failure,-1.8,92.893,-46.2,1.281,5099.1,0
49,blue-collar,married,basic.9y,unknown,yes,no,cellular,1,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
38,admin.,married,unknown,no,no,yes,cellular,3,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
34,admin.,married,university.degree,unknown,no,no,cellular,1,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
46,blue-collar,married,basic.4y,unknown,no,no,cellular,1,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
45,technician,married,professional.course,unknown,yes,no,cellular,5,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
40,admin.,married,basic.9y,no,yes,no,cellular,4,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
46,admin.,divorced,basic.9y,unknown,no,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.856,5191,0
31,blue-collar,single,basic.9y,no,no,no,telephone,7,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
57,self-employed,married,basic.9y,unknown,yes,yes,telephone,1,nonexistent,1.1,93.994,-36.4,4.857,5191,0
36,admin.,married,university.degree,no,no,no,cellular,3,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
50,technician,married,professional.course,no,unknown,unknown,cellular,2,failure,-0.1,93.2,-42,4.153,5195.8,0
32,admin.,single,high.school,no,yes,yes,cellular,1,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,0
38,admin.,single,university.degree,no,yes,no,cellular,2,nonexistent,-2.9,92.469,-33.6,0.914,5076.2,0
50,admin.,married,university.degree,no,unknown,unknown,cellular,1,failure,-1.8,93.876,-40,0.682,5008.7,0
42,blue-collar,married,basic.4y,no,yes,no,telephone,2,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0
31,technician,married,professional.course,no,yes,no,cellular,2,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
27,unemployed,single,university.degree,no,yes,no,cellular,1,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
44,self-employed,divorced,high.school,no,yes,no,telephone,1,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
26,housemaid,single,high.school,unknown,yes,yes,telephone,1,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
30,blue-collar,single,high.school,unknown,yes,no,cellular,1,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
39,self-employed,single,high.school,no,yes,no,cellular,1,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
64,retired,married,unknown,no,no,no,cellular,4,nonexistent,-2.9,92.201,-31.4,0.849,5076.2,1
36,management,married,university.degree,no,unknown,unknown,cellular,1,failure,-1.1,94.199,-37.5,0.876,4963.6,1
42,blue-collar,married,basic.4y,unknown,yes,no,telephone,4,nonexistent,1.1,93.994,-36.4,4.856,5191,0
42,services,single,high.school,no,no,no,cellular,2,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
40,admin.,divorced,high.school,no,no,no,cellular,3,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
34,services,married,high.school,no,no,yes,cellular,2,failure,-1.8,92.893,-46.2,1.334,5099.1,0
31,blue-collar,married,basic.6y,no,yes,yes,telephone,2,nonexistent,1.1,93.994,-36.4,4.86,5191,0
49,admin.,single,university.degree,no,no,no,telephone,3,nonexistent,1.1,93.994,-36.4,4.857,5191,0
35,unemployed,divorced,basic.9y,no,no,no,cellular,7,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0
60,admin.,married,unknown,unknown,no,yes,telephone,2,nonexistent,1.1,93.994,-36.4,4.857,5191,0
38,admin.,divorced,basic.9y,no,no,no,cellular,1,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
32,management,married,professional.course,no,no,no,cellular,1,failure,-1.8,92.893,-46.2,1.266,5099.1,0
50,self-employed,married,basic.9y,no,yes,yes,cellular,6,success,-1.8,92.893,-46.2,1.354,5099.1,1
41,admin.,married,university.degree,no,yes,no,cellular,6,nonexistent,-1.8,93.749,-34.6,0.644,5008.7,1
45,admin.,married,high.school,no,no,no,telephone,2,nonexistent,1.1,93.994,-36.4,4.857,5191,0
46,blue-collar,married,basic.6y,no,no,yes,telephone,2,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
55,unknown,married,basic.4y,unknown,yes,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.857,5191,0
33,technician,divorced,professional.course,no,yes,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.855,5191,0
45,blue-collar,married,unknown,unknown,no,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.857,5191,0
29,blue-collar,married,high.school,no,yes,no,cellular,1,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
42,technician,married,high.school,unknown,no,no,cellular,2,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
39,housemaid,married,university.degree,no,yes,no,telephone,2,nonexistent,1.1,93.994,-36.4,4.857,5191,0
58,blue-collar,married,unknown,unknown,yes,no,cellular,4,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
32,management,divorced,university.degree,no,yes,no,cellular,4,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
44,technician,divorced,professional.course,unknown,yes,no,cellular,3,failure,-1.8,93.075,-47.1,1.41,5099.1,0
49,self-employed,married,professional.course,no,no,no,telephone,2,nonexistent,1.1,93.994,-36.4,4.859,5191,0
29,blue-collar,married,basic.6y,no,yes,no,cellular,4,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
51,management,married,university.degree,no,no,no,telephone,17,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
36,admin.,married,university.degree,no,yes,no,cellular,8,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
23,management,single,university.degree,no,yes,no,cellular,1,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,1
31,management,single,university.degree,no,yes,no,cellular,1,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
32,technician,married,unknown,no,yes,no,cellular,2,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
58,self-employed,divorced,professional.course,no,no,no,telephone,1,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
31,services,single,high.school,no,yes,no,cellular,20,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
32,blue-collar,married,professional.course,no,yes,no,cellular,2,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0
43,unemployed,married,high.school,no,no,no,cellular,4,success,-2.9,92.201,-31.4,0.873,5076.2,0
48,admin.,divorced,professional.course,no,yes,no,telephone,3,nonexistent,1.1,93.994,-36.4,4.859,5191,0
28,admin.,single,high.school,no,yes,no,cellular,2,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
52,services,unknown,professional.course,no,yes,no,telephone,2,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
36,management,married,university.degree,no,no,no,telephone,1,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0
39,admin.,divorced,high.school,no,yes,yes,cellular,2,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0
39,blue-collar,married,unknown,unknown,yes,no,telephone,5,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
50,management,married,university.degree,no,yes,no,telephone,1,failure,-3.4,92.431,-26.9,0.754,5017.5,0
29,admin.,single,university.degree,no,yes,no,cellular,1,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
49,technician,divorced,professional.course,no,yes,no,cellular,3,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
36,blue-collar,married,basic.6y,no,no,no,cellular,1,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
29,blue-collar,married,basic.9y,unknown,yes,no,cellular,6,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
27,entrepreneur,single,university.degree,no,no,no,telephone,3,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
31,blue-collar,married,basic.9y,no,yes,no,cellular,1,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
43,management,single,high.school,no,no,no,cellular,1,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
32,blue-collar,married,unknown,no,no,no,cellular,4,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
45,blue-collar,married,high.school,unknown,yes,no,cellular,2,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
56,blue-collar,married,basic.4y,no,no,no,telephone,2,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
38,admin.,married,high.school,no,unknown,unknown,telephone,16,nonexistent,1.1,93.994,-36.4,4.858,5191,0
35,blue-collar,married,basic.9y,unknown,no,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.855,5191,0
30,admin.,single,university.degree,no,yes,no,cellular,1,failure,-2.9,92.201,-31.4,0.881,5076.2,0
46,management,married,university.degree,unknown,no,no,cellular,1,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
43,blue-collar,married,basic.9y,no,yes,no,cellular,4,failure,-1.8,92.893,-46.2,1.327,5099.1,0
38,technician,married,university.degree,unknown,no,no,telephone,2,nonexistent,1.1,93.994,-36.4,4.855,5191,0
52,retired,married,university.degree,no,yes,no,telephone,2,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
30,technician,unknown,university.degree,no,no,no,cellular,2,success,-1.1,94.601,-49.5,0.942,4963.6,0
31,unemployed,married,high.school,yes,no,no,cellular,2,failure,-0.1,93.2,-42,4.153,5195.8,0
31,blue-collar,single,basic.4y,unknown,yes,no,cellular,1,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0
24,technician,single,professional.course,no,no,no,cellular,1,failure,-1.8,92.893,-46.2,1.266,5099.1,0
34,admin.,single,university.degree,no,yes,no,cellular,2,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
48,admin.,married,unknown,no,no,no,cellular,1,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
30,admin.,married,university.degree,no,yes,no,cellular,1,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
23,blue-collar,single,high.school,unknown,yes,no,cellular,4,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
20,entrepreneur,single,high.school,no,no,no,telephone,3,nonexistent,1.1,93.994,-36.4,4.855,5191,0
43,admin.,divorced,high.school,no,no,no,cellular,3,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
26,services,single,high.school,no,no,no,cellular,2,failure,-1.8,92.893,-46.2,1.299,5099.1,0
58,unemployed,single,basic.4y,unknown,no,no,telephone,6,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
26,admin.,single,university.degree,no,yes,no,cellular,5,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
35,admin.,married,high.school,unknown,yes,no,telephone,14,nonexistent,1.1,93.994,-36.4,4.859,5191,0
35,admin.,married,high.school,unknown,no,no,cellular,3,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
59,admin.,divorced,professional.course,no,no,no,cellular,1,failure,-2.9,92.201,-31.4,0.883,5076.2,1
54,blue-collar,married,basic.4y,unknown,no,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.857,5191,0
37,blue-collar,divorced,basic.9y,no,yes,no,cellular,2,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
